Name,Rating,Genre,Release Date,Runtime,Director,Url
The Jack in the Box: Awakening,64.0,Horror,02/24/2022,1h 29m,Lawrence Fowler,https://www.themoviedb.org/movie/801071
Project Wolf Hunting,68.0,"Science Fiction, Action, Thriller, Horror",09/28/2022,2h 2m,Kim Hong-sun,https://www.themoviedb.org/movie/799379
Frozen II,73.0,"Family, Animation, Adventure, Comedy, Fantasy",11/22/2019,1h 43m,Jennifer Lee,https://www.themoviedb.org/movie/330457
Along with the Gods: The Last 49 Days,82.0,"Drama, Fantasy, Action, Adventure",08/01/2018,2h 21m,Kim Yong-hwa,https://www.themoviedb.org/movie/518068
Nope,69.0,"Horror, Mystery, Science Fiction, Thriller",08/19/2022,2h 10m,Jordan Peele,https://www.themoviedb.org/movie/762504
Cruella,81.0,"Comedy, Crime",05/28/2021,2h 14m,Craig Gillespie,https://www.themoviedb.org/movie/337404
Mack & Rita,58.0,"Comedy, Fantasy",08/12/2022,1h 35m,Katie Aselton,https://www.themoviedb.org/movie/808087
365 Days: This Day,59.0,"Romance, Drama",04/27/2022,1h 51m,Tomasz Mandes,https://www.themoviedb.org/movie/829557
Welcome to the Club,67.0,"Animation, Comedy",09/08/2022,4m,David Silverman,https://www.themoviedb.org/movie/1015602
Moonfall,64.0,Science Fiction,02/04/2022,2h 10m,Roland Emmerich,https://www.themoviedb.org/movie/406759
Just Love and a Thousand Songs,81.0,"Music, Documentary",12/08/2022,30m,Diego Peskins,https://www.themoviedb.org/movie/1050040
The Stranger,61.0,"Crime, Drama, Mystery, Thriller",10/06/2022,1h 57m,Thomas M. Wright,https://www.themoviedb.org/movie/848791
Dragon Knight,71.0,"Fantasy, Adventure, Action",03/21/2022,1h 39m,Lawrie Brewster,https://www.themoviedb.org/movie/919355
Santa vs Reyes,82.0,"Comedy, Fantasy",11/18/2022,1h 46m,Paco Caballero,https://www.themoviedb.org/movie/987758
Iron Man 2,68.0,"Adventure, Action, Science Fiction",05/07/2010,2h 4m,Jon Favreau,https://www.themoviedb.org/movie/10138
The Addams Family,67.0,"Family, Animation, Comedy, Fantasy, Horror",10/11/2019,1h 26m,Conrad Vernon,https://www.themoviedb.org/movie/481084
20/20 Presents Black Panther: In Search of Wakanda,38.0,Documentary,11/04/2022,43m,David Hoffman,https://www.themoviedb.org/movie/1043835
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,83.0,"Action, Animation, Fantasy",03/29/2019,1h 45m,Haruo Sotozaki,https://www.themoviedb.org/movie/820232
Eternals,70.0,"Science Fiction, Action, Adventure",11/05/2021,2h 36m,Chloé Zhao,https://www.themoviedb.org/movie/524434
"Goodbye, Don Glees!",48.0,"Animation, Adventure, Fantasy",02/18/2022,1h 35m,Atsuko Ishizuka,https://www.themoviedb.org/movie/846993
Monster High: The Movie,71.0,"Family, Fantasy, Comedy, Adventure, Music, TV Movie",10/06/2022,1h 31m,Todd Holland,https://www.themoviedb.org/movie/335795
Top Gun,70.0,"Action, Drama",05/16/1986,1h 50m,Tony Scott,https://www.themoviedb.org/movie/744
Interstellar,84.0,"Adventure, Drama, Science Fiction",11/07/2014,2h 49m,Christopher Nolan,https://www.themoviedb.org/movie/157336
The Super Mario Bros. Movie,0.0,"Adventure, Animation, Comedy, Family, Fantasy",04/07/2023,NA,Michael Jelenic,https://www.themoviedb.org/movie/502356
Blackout,54.0,"Action, Adventure, Thriller",10/12/2022,1h 21m,Sam Macaroni,https://www.themoviedb.org/movie/759507
Hacksaw Ridge,82.0,"Drama, History, War",12/16/2016,2h 19m,Mel Gibson,https://www.themoviedb.org/movie/324786
After,72.0,"Romance, Drama",04/12/2019,1h 46m,Jenny Gage,https://www.themoviedb.org/movie/537915
Eureka: Eureka Seven Hi-Evolution,58.0,"Animation, Drama, Adventure, Science Fiction",11/26/2021,1h 56m,Tomoki Kyoda,https://www.themoviedb.org/movie/843269
The Bad Guys,77.0,"Animation, Action, Adventure, Crime, Comedy",04/22/2022,1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
A Man Called Otto,65.0,"Drama, Comedy",01/13/2023,2h 6m,Marc Forster,https://www.themoviedb.org/movie/937278
Dragonflies,58.0,Drama,09/16/2022,1h 43m,Luc Knowles,https://www.themoviedb.org/movie/943934
Last Seen Alive,66.0,"Action, Thriller",05/19/2022,1h 35m,Brian Goodman,https://www.themoviedb.org/movie/961484
"Monsters, Inc.",78.0,"Animation, Comedy, Family",11/02/2001,1h 32m,Pete Docter,https://www.themoviedb.org/movie/585
The Ice Age Adventures of Buck Wild,67.0,"Animation, Comedy, Adventure, Family",01/28/2022,1h 22m,John C. Donkin,https://www.themoviedb.org/movie/774825
Titane,65.0,"Drama, Thriller, Horror",07/14/2021,1h 48m,Julia Ducournau,https://www.themoviedb.org/movie/630240
Day Shift,69.0,"Action, Fantasy, Horror, Comedy",08/12/2022,1h 53m,J.J. Perry,https://www.themoviedb.org/movie/755566
Desire,60.0,"Drama, Romance",06/06/2013,1h 43m,Laurent Bouhnik,https://www.themoviedb.org/movie/86331
Batman and Superman: Battle of the Super Sons,80.0,"Animation, Action, Science Fiction",10/18/2022,1h 19m,Matt Peters,https://www.themoviedb.org/movie/886396
Exploits of a Young Don Juan,55.0,"Comedy, Drama",03/11/1987,1h 35m,Gianfranco Mingozzi,https://www.themoviedb.org/movie/81774
One Piece Film Red,73.0,"Animation, Adventure, Action, Fantasy",10/07/2022,1h 55m,Goro Taniguchi,https://www.themoviedb.org/movie/900667
Dog,74.0,"Drama, Comedy",02/18/2022,1h 42m,Reid Carolin,https://www.themoviedb.org/movie/626735
Shrek,77.0,"Animation, Comedy, Fantasy, Adventure, Family",05/18/2001,1h 30m,Andrew Adamson,https://www.themoviedb.org/movie/808
The Twin,61.0,"Horror, Mystery",04/06/2022,1h 49m,Taneli Mustonen,https://www.themoviedb.org/movie/477462
After We Fell,71.0,"Romance, Drama",09/30/2021,1h 39m,Castille Landon,https://www.themoviedb.org/movie/744275
Don't Worry Darling,69.0,"Thriller, Mystery, Science Fiction",09/23/2022,2h 3m,Olivia Wilde,https://www.themoviedb.org/movie/619730
Wire Room,67.0,"Action, Adventure, Crime, Mystery, Thriller",09/02/2022,1h 37m,Matt Eskandari,https://www.themoviedb.org/movie/921360
Psychosexual,20.0,Thriller,05/12/2022,1h 33m,Marco Vélez Esquivia,https://www.themoviedb.org/movie/834734
Matriarch,55.0,Horror,10/21/2022,1h 25m,Ben Steiner,https://www.themoviedb.org/movie/1024535
ODDTAXI in the Woods,65.0,"Animation, Comedy, Mystery",04/01/2022,2h 8m,Baku Kinoshita,https://www.themoviedb.org/movie/919609
Summer Ghost,77.0,"Animation, Drama, Mystery, Fantasy",11/12/2021,40m,loundraw,https://www.themoviedb.org/movie/798544
You Won't Be Alone,66.0,"Horror, Drama, History",09/22/2022,1h 49m,Goran Stolevski,https://www.themoviedb.org/movie/883083
Office Invasion,58.0,"Science Fiction, Comedy, Action",08/10/2022,1h 52m,Gareth Crocker,https://www.themoviedb.org/movie/1006851
Matilda,71.0,"Comedy, Family, Fantasy",08/02/1996,1h 38m,Danny DeVito,https://www.themoviedb.org/movie/10830
Mia and Me: The Hero of Centopia,73.0,"Animation, Fantasy, Adventure",10/27/2022,1h 22m,Matthias Temmermans,https://www.themoviedb.org/movie/955644
Coco,82.0,"Family, Animation, Fantasy, Music, Comedy, Adventure",11/24/2017,1h 45m,Lee Unkrich,https://www.themoviedb.org/movie/354912
L.O.L. Surprise! Winter Fashion Show,78.0,Animation,10/24/2022,NA,John Kafka,https://www.themoviedb.org/movie/1039627
Slayers,53.0,"Horror, Comedy, Fantasy",11/10/2022,1h 28m,K. Asher Levin,https://www.themoviedb.org/movie/888097
Barbarian,69.0,"Horror, Thriller",09/09/2022,1h 43m,Zach Cregger,https://www.themoviedb.org/movie/913290
The Gray Man,70.0,"Action, Thriller",07/13/2022,2h 8m,Joe Russo,https://www.themoviedb.org/movie/725201
The Maze Runner,72.0,"Action, Mystery, Science Fiction, Thriller",09/18/2014,1h 53m,Wes Ball,https://www.themoviedb.org/movie/198663
She Said,74.0,"Drama, History",11/18/2022,2h 9m,Maria Schrader,https://www.themoviedb.org/movie/837881
Black Adam: Saviour or Destroyer?,71.0,Documentary,10/16/2022,22m,NA,https://www.themoviedb.org/movie/1040330
The Addams Family,70.0,"Comedy, Fantasy",11/22/1991,1h 42m,Barry Sonnenfeld,https://www.themoviedb.org/movie/2907
Don't Come Back Alive,61.0,"Thriller, Fantasy, Horror",09/29/2022,1h 25m,Néstor Sánchez Sotelo,https://www.themoviedb.org/movie/812488
Spirited,71.0,Comedy,11/10/2022,2h 7m,Sean Anders,https://www.themoviedb.org/movie/632856
Mission «Sky»,88.0,"Drama, War",11/18/2021,1h 50m,Igor Kopylov,https://www.themoviedb.org/movie/818415
Zack Snyder's Justice League,82.0,"Action, Adventure, Fantasy, Science Fiction",03/18/2021,4h 2m,Zack Snyder,https://www.themoviedb.org/movie/791373
Cuando Sea Joven,88.0,"Comedy, Fantasy",09/14/2022,1h 55m,Raúl Martínez,https://www.themoviedb.org/movie/772071
My Father's Dragon,79.0,"Animation, Adventure, Family, Fantasy, Comedy",11/11/2022,1h 44m,Nora Twomey,https://www.themoviedb.org/movie/560052
Room Salon College Girls 3,50.0,"Romance, Action",04/17/2020,1h 10m,Lee Min-woo,https://www.themoviedb.org/movie/698779
So Cold the River,57.0,"Horror, Thriller",03/25/2022,1h 33m,Paul Shoulberg,https://www.themoviedb.org/movie/811061
The Man from Toronto,74.0,"Action, Comedy",12/23/2022,1h 53m,Patrick Hughes,https://www.themoviedb.org/movie/667739
Zoolander,62.0,Comedy,09/28/2001,1h 30m,Ben Stiller,https://www.themoviedb.org/movie/9398
Pirates of the Caribbean: The Curse of the Black Pearl,78.0,"Adventure, Fantasy, Action",08/15/2003,2h 23m,Gore Verbinski,https://www.themoviedb.org/movie/22
Mortal Kombat,71.0,"Action, Fantasy, Adventure",04/23/2021,1h 50m,Simon McQuoid,https://www.themoviedb.org/movie/460465
After We Collided,72.0,"Romance, Drama",09/02/2020,1h 45m,Roger Kumble,https://www.themoviedb.org/movie/613504
The Requin,51.0,"Thriller, Horror",01/28/2022,1h 29m,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
The Lord of the Rings: The Fellowship of the Ring,84.0,"Adventure, Fantasy, Action",03/15/2002,2h 59m,Peter Jackson,https://www.themoviedb.org/movie/120
Wendell & Wild,68.0,"Animation, Comedy, Fantasy, Adventure",10/21/2022,1h 47m,Henry Selick,https://www.themoviedb.org/movie/511817
The Sea Beast,76.0,"Animation, Adventure, Family, Fantasy",06/24/2022,1h 59m,Chris Williams,https://www.themoviedb.org/movie/560057
Dune,78.0,"Science Fiction, Adventure",10/22/2021,2h 35m,Denis Villeneuve,https://www.themoviedb.org/movie/438631
Paws of Fury: The Legend of Hank,68.0,"Animation, Action, Adventure, Comedy, Family, Western",07/22/2022,1h 38m,Rob Minkoff,https://www.themoviedb.org/movie/366672
Luca,79.0,"Animation, Comedy, Family, Fantasy",06/17/2021,1h 35m,Enrico Casarosa,https://www.themoviedb.org/movie/508943
F9,72.0,"Action, Adventure, Crime, Thriller",06/25/2021,2h 23m,Justin Lin,https://www.themoviedb.org/movie/385128
Megan,35.0,Thriller,03/14/2020,1h 29m,Silvio Nacucchi,https://www.themoviedb.org/movie/883987
The Suicide Squad,76.0,"Action, Comedy, Adventure",08/06/2021,2h 12m,James Gunn,https://www.themoviedb.org/movie/436969
The Matrix Resurrections,66.0,"Science Fiction, Action, Adventure",12/22/2021,2h 27m,Lana Wachowski,https://www.themoviedb.org/movie/624860
The Avengers,77.0,"Science Fiction, Action, Adventure",04/27/2012,2h 23m,Joss Whedon,https://www.themoviedb.org/movie/24428
The Killer,81.0,"Action, Thriller, Crime",07/13/2022,1h 35m,Choi Jae-hoon,https://www.themoviedb.org/movie/938008
Titanic,79.0,"Drama, Romance",04/06/2012,3h 14m,James Cameron,https://www.themoviedb.org/movie/597
Sword Art Online the Movie -Progressive- Aria of a Starless Night,83.0,"Animation, Action, Fantasy, Science Fiction",10/30/2021,1h 37m,Ayako Kono,https://www.themoviedb.org/movie/761898
Shrek Forever After,63.0,"Comedy, Adventure, Fantasy, Animation, Family",05/16/2010,1h 33m,Mike Mitchell,https://www.themoviedb.org/movie/10192
Scream,67.0,"Horror, Mystery, Thriller",01/14/2022,1h 54m,Tyler Gillett,https://www.themoviedb.org/movie/646385
The Girl from the Other Side,64.0,"Animation, Drama, Mystery, Fantasy",03/10/2022,1h 10m,Yutaro Kubo,https://www.themoviedb.org/movie/802699
Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy",11/10/2021,1h 37m,Walt Becker,https://www.themoviedb.org/movie/585245
The Hobbit: The Battle of the Five Armies,73.0,"Action, Adventure, Fantasy",12/17/2014,2h 24m,Peter Jackson,https://www.themoviedb.org/movie/122917
The Twilight Saga: Eclipse,62.0,"Adventure, Fantasy, Drama, Romance",06/23/2010,2h 4m,David Slade,https://www.themoviedb.org/movie/24021
Deadpool,76.0,"Action, Adventure, Comedy",02/12/2016,1h 48m,Tim Miller,https://www.themoviedb.org/movie/293660
The princess,75.0,Action,08/05/2022,NA,Alonso O. Lara,https://www.themoviedb.org/movie/1008779
The Trapped 13: How We Survived The Thai Cave,65.0,Documentary,10/05/2022,1h 42m,Pailin Wedel,https://www.themoviedb.org/movie/1025169
Trick or Treat Scooby-Doo!,73.0,"Adventure, Mystery, Comedy, Animation, Family",10/04/2022,1h 18m,Audie Harrison,https://www.themoviedb.org/movie/1015724
The Tomorrow War,79.0,"Action, Science Fiction, Adventure",07/02/2021,2h 18m,Chris McKay,https://www.themoviedb.org/movie/588228
Inside Out,79.0,"Animation, Family, Adventure, Drama, Comedy",06/26/2015,1h 35m,Pete Docter,https://www.themoviedb.org/movie/150540
Resident Evil: Welcome to Raccoon City,61.0,"Horror, Science Fiction, Action",11/26/2021,1h 47m,Johannes Roberts,https://www.themoviedb.org/movie/460458
The Chalk Line,63.0,"Horror, Thriller, Mystery",09/09/2022,1h 46m,Ignacio Tatay,https://www.themoviedb.org/movie/960875
Your Boyfriend Is Mine,67.0,"Thriller, TV Movie, Action",03/19/2022,1h 25m,Stacia Crawford,https://www.themoviedb.org/movie/951368
Under Wraps 2,68.0,"Family, Fantasy, TV Movie",09/30/2022,1h 23m,Alex Zamm,https://www.themoviedb.org/movie/936061
The Princess,69.0,"Fantasy, Action",07/01/2022,1h 34m,Lê Văn Kiệt,https://www.themoviedb.org/movie/759175
Groot's First Steps,72.0,"Animation, Family, Comedy, Science Fiction",08/10/2022,6m,Kirsten Lepore,https://www.themoviedb.org/movie/1010818
My Hero Academia: Heroes Rising,82.0,"Animation, Action, Fantasy, Adventure",12/20/2019,1h 44m,Kenji Nagasaki,https://www.themoviedb.org/movie/592350
Twilight,63.0,"Fantasy, Drama, Romance",11/21/2008,2h 2m,Catherine Hardwicke,https://www.themoviedb.org/movie/8966
Fury,75.0,"War, Drama, Action",10/31/2014,2h 15m,David Ayer,https://www.themoviedb.org/movie/228150
Shrek 2,72.0,"Animation, Family, Comedy, Fantasy, Adventure",08/20/2004,1h 33m,Andrew Adamson,https://www.themoviedb.org/movie/809
Huda's Salon,60.0,Thriller,02/01/2023,1h 31m,Hany Abu-Assad,https://www.themoviedb.org/movie/782648
Ice Age,73.0,"Animation, Comedy, Family, Adventure",05/03/2002,1h 21m,Chris Wedge,https://www.themoviedb.org/movie/425
Transformers: Rise of the Beasts,0.0,"Action, Adventure, Science Fiction",06/09/2023,NA,Steven Caple Jr.,https://www.themoviedb.org/movie/667538
Raya and the Last Dragon,79.0,"Animation, Family, Fantasy, Action, Adventure",03/05/2021,1h 47m,Don Hall,https://www.themoviedb.org/movie/527774
The Adam Project,71.0,"Adventure, Science Fiction",03/11/2022,1h 46m,Shawn Levy,https://www.themoviedb.org/movie/696806
Black Site,69.0,"Action, Thriller",06/30/2022,1h 39m,Sophia Banks,https://www.themoviedb.org/movie/848123
The Croods: A New Age,75.0,"Animation, Family, Adventure, Fantasy, Comedy",11/25/2020,1h 35m,Joel Crawford,https://www.themoviedb.org/movie/529203
Mortal Kombat Legends: Snow Blind,79.0,"Animation, Action, Fantasy",10/09/2022,1h 22m,Rick Morales,https://www.themoviedb.org/movie/1007401
Wrath of Man,77.0,"Action, Crime, Thriller",05/07/2021,1h 59m,Guy Ritchie,https://www.themoviedb.org/movie/637649
The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller",06/04/2021,1h 51m,Michael Chaves,https://www.themoviedb.org/movie/423108
The Twilight Saga: Breaking Dawn - Part 2,65.0,"Adventure, Fantasy, Drama, Romance",11/16/2012,1h 55m,Bill Condon,https://www.themoviedb.org/movie/50620
The Wonder,67.0,"Mystery, Thriller, Drama",11/04/2022,1h 48m,Sebastián Lelio,https://www.themoviedb.org/movie/823766
Wife's Mom 2,43.0,"Drama, Romance",01/14/2019,1h 8m,Kim Bit-na,https://www.themoviedb.org/movie/770903
Red Notice,68.0,"Action, Comedy, Crime, Thriller",11/05/2021,1h 58m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195
Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation, Family, Adventure, Fantasy, Action, TV Movie",05/15/2021,52m,Thomas Astruc,https://www.themoviedb.org/movie/726684
Looks Can Kill,45.0,Thriller,02/01/2022,1h 44m,Jasmine Ebony Thomas,https://www.themoviedb.org/movie/968857
As in Heaven,61.0,Drama,02/10/2022,1h 25m,Tea Lindeburg,https://www.themoviedb.org/movie/853361
The Lion King,83.0,"Family, Animation, Drama",10/10/1994,1h 29m,Roger Allers,https://www.themoviedb.org/movie/8587
Big Hero 6,77.0,"Adventure, Family, Animation, Action, Comedy",11/07/2014,1h 42m,Chris Williams,https://www.themoviedb.org/movie/177572
Deinfluencer,68.0,"Horror, Thriller",10/01/2022,2h,Jamie Bailey,https://www.themoviedb.org/movie/969160
Toy Story,80.0,"Animation, Adventure, Family, Comedy",11/22/1995,1h 21m,John Lasseter,https://www.themoviedb.org/movie/862
The Last Warrior: Root of Evil,70.0,"Fantasy, Adventure, Comedy",01/01/2021,2h,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
"Lagunas, la guarida del diablo",35.0,Horror,05/11/2022,NA,Marc Carreté,https://www.themoviedb.org/movie/967892
Avengers: Endgame,83.0,"Adventure, Science Fiction, Action",04/26/2019,3h 1m,Joe Russo,https://www.themoviedb.org/movie/299534
"Miraculous World: New York, United HeroeZ",82.0,"Animation, Family, Adventure, TV Movie, Fantasy, Action",12/18/2020,55m,Thomas Astruc,https://www.themoviedb.org/movie/755812
Finding Nemo,78.0,"Animation, Family",05/30/2003,1h 40m,Andrew Stanton,https://www.themoviedb.org/movie/12
Black Widow,74.0,"Action, Adventure, Science Fiction",07/09/2021,2h 14m,Cate Shortland,https://www.themoviedb.org/movie/497698
Charlie and the Chocolate Factory,70.0,"Adventure, Comedy, Family, Fantasy",07/29/2005,1h 55m,Tim Burton,https://www.themoviedb.org/movie/118
Pirates of the Caribbean: Dead Man's Chest,73.0,"Adventure, Fantasy, Action",07/07/2006,2h 31m,Gore Verbinski,https://www.themoviedb.org/movie/58
Transformers: Age of Extinction,59.0,"Science Fiction, Action, Adventure",06/27/2014,2h 45m,Michael Bay,https://www.themoviedb.org/movie/91314
Doctor Strange,74.0,"Action, Adventure, Fantasy",11/04/2016,1h 55m,Scott Derrickson,https://www.themoviedb.org/movie/284052
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),70.0,"Action, Crime",02/07/2020,1h 49m,Cathy Yan,https://www.themoviedb.org/movie/495764
Star Wars,82.0,"Adventure, Action, Science Fiction",04/18/1997,2h 1m,George Lucas,https://www.themoviedb.org/movie/11
Frozen,73.0,"Animation, Family, Adventure, Fantasy",11/27/2013,1h 42m,Jennifer Lee,https://www.themoviedb.org/movie/109445
The Lord of the Rings: The Return of the King,85.0,"Adventure, Fantasy, Action",02/06/2004,3h 21m,Peter Jackson,https://www.themoviedb.org/movie/122
Inexorable,59.0,Thriller,04/06/2022,1h 38m,Fabrice Du Welz,https://www.themoviedb.org/movie/781099
Bullet Proof,58.0,"Action, Crime",08/25/2022,1h 21m,James Clayton,https://www.themoviedb.org/movie/993145
Dragon Ball Z: Resurrection 'F',68.0,"Action, Animation, Science Fiction",04/18/2015,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
Groot Takes a Bath,70.0,"Animation, Family, Comedy, Science Fiction",08/10/2022,5m,Kirsten Lepore,https://www.themoviedb.org/movie/1010821
Last Man Down,55.0,"Action, Thriller",11/03/2022,1h 27m,Fansu Njie,https://www.themoviedb.org/movie/860623
The Godfather,87.0,"Drama, Crime",03/14/1972,2h 55m,Francis Ford Coppola,https://www.themoviedb.org/movie/238
Ghostbusters: Afterlife,75.0,"Fantasy, Comedy, Adventure",11/11/2021,2h 4m,Jason Reitman,https://www.themoviedb.org/movie/425909
Forrest Gump,85.0,"Comedy, Drama, Romance",07/06/1994,2h 22m,Robert Zemeckis,https://www.themoviedb.org/movie/13
Wakanda,80.0,Music,07/06/2018,NA,Ahmed Amrani,https://www.themoviedb.org/movie/950044
The Forever Purge,71.0,"Horror, Action, Thriller",07/02/2021,1h 43m,Everardo Gout,https://www.themoviedb.org/movie/602223
Kangaroo Valley,65.0,Documentary,12/14/2022,1h 16m,Kylie Stott,https://www.themoviedb.org/movie/1050167
Emergency Declaration,78.0,"Action, Drama, Mystery, Thriller",08/03/2022,2h 20m,Han Jae-rim,https://www.themoviedb.org/movie/626872
Encanto at the Hollywood Bowl,63.0,Music,12/28/2022,45m,Chris Howe,https://www.themoviedb.org/movie/1041513
The Conjuring,75.0,"Horror, Thriller",08/02/2013,1h 52m,James Wan,https://www.themoviedb.org/movie/138843
Meet Joe Black,73.0,"Fantasy, Drama, Romance",11/12/1998,2h 58m,Martin Brest,https://www.themoviedb.org/movie/297
Babylon,73.0,"Drama, Comedy",12/23/2022,3h 9m,Damien Chazelle,https://www.themoviedb.org/movie/615777
The Polar Express,67.0,"Animation, Family, Adventure, Fantasy, Comedy",12/24/2004,1h 40m,Robert Zemeckis,https://www.themoviedb.org/movie/5255
The Contractor,65.0,"Action, Thriller",03/10/2022,1h 43m,Tarik Saleh,https://www.themoviedb.org/movie/628900
Pirates of the Caribbean: On Stranger Tides,65.0,"Adventure, Action, Fantasy",05/20/2011,2h 17m,Rob Marshall,https://www.themoviedb.org/movie/1865
"...Watch Out, We're Mad",54.0,"Comedy, Action",03/23/2022,1h 30m,Niccolò Celaia,https://www.themoviedb.org/movie/838197
Nobody,81.0,"Action, Crime, Thriller",08/27/2021,1h 32m,Ilya Naishuller,https://www.themoviedb.org/movie/615457
Free Guy,76.0,"Comedy, Adventure, Science Fiction",09/17/2021,1h 55m,Shawn Levy,https://www.themoviedb.org/movie/550988
Ready Player One,76.0,"Science Fiction, Adventure, Action",03/30/2018,2h 20m,Steven Spielberg,https://www.themoviedb.org/movie/333339
Homebound,41.0,"Horror, Drama, Mystery",09/15/2022,1h 11m,Sebastian Godwin,https://www.themoviedb.org/movie/484907
The Equalizer,72.0,"Thriller, Action, Crime",11/21/2014,2h 12m,Antoine Fuqua,https://www.themoviedb.org/movie/156022
Naruto Shippuden the Movie,73.0,"Animation, Action, Fantasy",08/04/2007,1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
Coraline,78.0,"Animation, Family, Fantasy",02/06/2009,1h 40m,Henry Selick,https://www.themoviedb.org/movie/14836
The Godfather Part III,74.0,"Crime, Drama, Thriller",05/01/1992,2h 50m,Francis Ford Coppola,https://www.themoviedb.org/movie/242
Our Children,60.0,"Comedy, Family",01/13/2022,1h 26m,Artyom Aksenenko,https://www.themoviedb.org/movie/518829
Your Name.,85.0,"Romance, Animation, Drama",08/26/2016,1h 46m,Makoto Shinkai,https://www.themoviedb.org/movie/372058
The SpongeBob Movie: Sponge on the Run,76.0,"Family, Animation, Fantasy, Adventure, Comedy",08/14/2020,1h 35m,Tim Hill,https://www.themoviedb.org/movie/400160
The Simpsons Movie,70.0,"Animation, Comedy, Family",07/27/2007,1h 27m,David Silverman,https://www.themoviedb.org/movie/35
The Forbidden Legend: Sex & Chopsticks 2,52.0,"Comedy, Drama, Romance",03/04/2009,1h 33m,Chin Man-Kei,https://www.themoviedb.org/movie/32516
Amsterdam,61.0,"Crime, Comedy, History, Thriller, Mystery",10/07/2022,2h 14m,David O. Russell,https://www.themoviedb.org/movie/664469
Boruto: Naruto the Movie,76.0,"Animation, Action, Comedy",08/07/2015,1h 35m,Hiroyuki Yamashita,https://www.themoviedb.org/movie/347201
Barbie: Mermaid Power,72.0,Animation,10/14/2022,1h 4m,Ron Myrick,https://www.themoviedb.org/movie/1012801
Brothers,73.0,"Drama, Thriller, War",12/02/2009,1h 45m,Jim Sheridan,https://www.themoviedb.org/movie/7445
8 Years,60.0,Drama,01/20/2022,1h 37m,JD Alcázar,https://www.themoviedb.org/movie/822213
Real Steel,69.0,"Action, Science Fiction, Drama",10/06/2011,2h 7m,Shawn Levy,https://www.themoviedb.org/movie/39254
Puss in Boots: The Three Diablos,65.0,"Adventure, Animation, Comedy, Family",02/07/2012,13m,Raman Hui,https://www.themoviedb.org/movie/83201
Fight Club,84.0,"Drama, Thriller, Comedy",10/15/1999,2h 19m,David Fincher,https://www.themoviedb.org/movie/550
Me Before You,79.0,"Drama, Romance",06/03/2016,1h 50m,Thea Sharrock,https://www.themoviedb.org/movie/296096
Addams Family Values,69.0,"Comedy, Family, Fantasy",11/19/1993,1h 34m,Barry Sonnenfeld,https://www.themoviedb.org/movie/2758
The Hunger Games: Mockingjay - Part 1,68.0,"Science Fiction, Adventure, Thriller",11/21/2014,2h 3m,Francis Lawrence,https://www.themoviedb.org/movie/131631
No Exit,70.0,"Horror, Thriller, Mystery",02/25/2022,1h 36m,Damien Power,https://www.themoviedb.org/movie/833425
Train to Busan,78.0,"Horror, Thriller, Science Fiction, Action",07/20/2016,1h 58m,Yeon Sang-ho,https://www.themoviedb.org/movie/396535
The Twilight Saga: Breaking Dawn - Part 1,62.0,"Adventure, Fantasy, Romance",11/17/2011,1h 57m,Bill Condon,https://www.themoviedb.org/movie/50619
Aladdin,71.0,"Adventure, Fantasy, Romance, Family",05/24/2019,2h 7m,Guy Ritchie,https://www.themoviedb.org/movie/420817
The Last: Naruto the Movie,79.0,"Action, Romance, Animation",12/06/2014,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
One Week Friends,67.0,Drama,06/18/2022,1h 46m,Gavin Lin,https://www.themoviedb.org/movie/945675
Avengers: Age of Ultron,73.0,"Action, Adventure, Science Fiction",04/24/2015,2h 21m,Joss Whedon,https://www.themoviedb.org/movie/99861
Something from Tiffany's,73.0,"Comedy, Romance",12/08/2022,1h 27m,Daryl Wein,https://www.themoviedb.org/movie/916053
The King's Man,68.0,"Action, Adventure, Thriller, War, Mystery",01/14/2022,2h 11m,Matthew Vaughn,https://www.themoviedb.org/movie/476669
John Wick: Chapter 2,73.0,"Action, Thriller, Crime",02/24/2017,2h 2m,Chad Stahelski,https://www.themoviedb.org/movie/324552
Cars 3,68.0,"Animation, Adventure, Comedy, Family",06/16/2017,1h 42m,Brian Fee,https://www.themoviedb.org/movie/260514
The Wolf of Wall Street,80.0,"Crime, Drama, Comedy",12/25/2013,3h,Martin Scorsese,https://www.themoviedb.org/movie/106646
Call Me by Your Name,82.0,"Romance, Drama",01/25/2018,2h 12m,Luca Guadagnino,https://www.themoviedb.org/movie/398818
John Wick: Chapter 3 - Parabellum,74.0,"Action, Thriller, Crime",05/17/2019,2h 10m,Chad Stahelski,https://www.themoviedb.org/movie/458156
